,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,342,369,5024279,6.806946827594566e-05,7.34433736661519e-05,REPUBLICAN,0.620316431668648
1,Alaska,196,179,733391,0.0002672517115699538,0.0002440717161786823,REPUBLICAN,0.5283314327038078
2,Arizona,674,632,7151502,9.424593602854337e-05,8.837304387246204e-05,DEMOCRAT,0.4936469061436661
3,Arkansas,37,75,3011524,1.2286138181199951e-05,2.4904334151080982e-05,REPUBLICAN,0.6239572985614432
4,California,3945,1308,39538223,9.97768665526521e-05,3.308191164787553e-05,DEMOCRAT,0.6348394689387351
5,Colorado,261,258,5773714,4.5204871595648834e-05,4.468527537041149e-05,DEMOCRAT,0.5501106714065329
6,Connecticut,1102,562,3605944,0.00030560652078900837,0.0001558537792045578,DEMOCRAT,0.5926073151568352
7,Delaware,3560,1052,989948,0.003596148484566866,0.001062682080270883,DEMOCRAT,0.5874300579364167
8,Florida,2581,1114,21538187,0.0001198336703084619,5.1722087843326834e-05,REPUBLICAN,0.5121981962250404
9,Georgia,1662,836,10711908,0.00015515443187152093,7.804398618808153e-05,DEMOCRAT,0.4947305578444627
10,Hawaii,0,236,1455271,0.0,0.00016216910802180486,DEMOCRAT,0.6314937976901742
11,Idaho,93,116,1839106,5.056804773623706e-05,6.307412405810214e-05,REPUBLICAN,0.6383756483190364
12,Illinois,1736,928,12812508,0.00013549259832657275,7.242922306858267e-05,DEMOCRAT,0.5754164537667581
13,Indiana,159,263,6785528,2.34322222235322e-05,3.875895877225766e-05,REPUBLICAN,0.5702115776570512
14,Iowa,145,167,3190369,4.544928815444232e-05,5.2345042219254264e-05,REPUBLICAN,0.5280019763194579
15,Kansas,503,668,2937880,0.0001712118942911215,0.0002273748417226027,REPUBLICAN,0.5621251283426474
16,Kentucky,202,205,4505836,4.483074838942207e-05,4.5496551583324384e-05,REPUBLICAN,0.6208657186929044
17,Louisiana,324,341,4657757,6.956137900710578e-05,7.321120444883665e-05,REPUBLICAN,0.5846088241400853
18,Maine,1028,573,1362359,0.0007545735008173323,0.00042059398440499163,DEMOCRAT,0.5252557934577239
19,Massachusetts,2389,870,7029917,0.000339833315243978,0.00012375679542162447,DEMOCRAT,0.6512298370286536
20,Michigan,607,418,10077331,6.0234202885664865e-05,4.1479236913027865e-05,DEMOCRAT,0.5062081829082437
21,Minnesota,726,504,5706494,0.00012722347557011363,8.832042932140119e-05,DEMOCRAT,0.5239509930974001
22,Mississippi,29,67,2961279,9.793065766515077e-06,2.262535883987966e-05,REPUBLICAN,0.5760295457538255
23,Missouri,87,108,6154913,1.4135049512478892e-05,1.7546958015491038e-05,REPUBLICAN,0.5679965577888949
24,Montana,65,78,1084225,5.9950655998524294e-05,7.194078719822915e-05,REPUBLICAN,0.5691846924002028
25,Nebraska,0,236,1961504,0.0,0.00012031583927435274,REPUBLICAN,0.5822416333205421
26,Nevada,431,412,3104614,0.00013882563178546512,0.0001327057083424864,DEMOCRAT,0.5005678195728402
27,New Hampshire,266,329,1377529,0.0001930993830256931,0.00023883344742651517,DEMOCRAT,0.5270782528014766
28,New Jersey,2709,1162,9288994,0.0002916354558954393,0.0001250942782393874,DEMOCRAT,0.5733419675281298
29,New Mexico,0,236,2117522,0.0,0.00011145102624671669,DEMOCRAT,0.5428928584957222
30,New York,3658,1245,20201249,0.000181077912558773,6.162985268881147e-05,DEMOCRAT,0.603918845358349
31,North Carolina,1330,807,10439388,0.00012740210441454996,7.730338215228708e-05,REPUBLICAN,0.4993433248829551
32,North Dakota,0,236,779094,0.0,0.00030291595109190934,REPUBLICAN,0.6511404873707572
33,Ohio,1610,1744,11799448,0.00013644706091335798,0.0001478035243682586,REPUBLICAN,0.5327130010087464
34,Oklahoma,374,397,3959353,9.44598776618301e-05,0.00010026890757151484,REPUBLICAN,0.6537327184806295
35,Oregon,426,250,4237256,0.00010053676247080657,5.900044745939353e-05,DEMOCRAT,0.5645331865404888
36,Pennsylvania,2237,1095,13002700,0.00017204119144485376,8.421327878056096e-05,DEMOCRAT,0.5000849567544814
37,Rhode Island,366,348,1097379,0.0003335219646083987,0.00031711924503749386,DEMOCRAT,0.5947619876593357
38,South Carolina,196,272,5118425,3.829302959406458e-05,5.314134719176309e-05,REPUBLICAN,0.5509348091719648
39,South Dakota,0,236,886667,0.0,0.00026616531347168666,REPUBLICAN,0.6176938967225024
40,Tennessee,663,363,6910840,9.593623929941946e-05,5.252617626800794e-05,REPUBLICAN,0.6066029416628381
41,Texas,1498,1002,29145505,5.1397290937316064e-05,3.437922931855186e-05,REPUBLICAN,0.5205760360355265
42,Utah,24,37,3271616,7.335824253213091e-06,1.1309395723703515e-05,REPUBLICAN,0.5812983902991959
43,Vermont,0,236,643077,0.0,0.0003669856020352151,DEMOCRAT,0.6545578055250049
44,Washington,1817,849,7705281,0.00023581229548928846,0.00011018417108993169,DEMOCRAT,0.5797030113530306
45,West Virginia,568,437,1793716,0.0003166610544813114,0.00024362831128227656,REPUBLICAN,0.6863155192461606
46,Wisconsin,307,304,5893718,5.208936023067273e-05,5.158034368118733e-05,DEMOCRAT,0.4944953686142774
47,Wyoming,56,93,576851,9.707879504412752e-05,0.00016122014176971175,REPUBLICAN,0.6949978994840271
