,state,pop_migrated,MOE +/-,state_population,pop_migrated_upper,pop_migrated_lower,migrated_adjusted,migrated_adjusted_upper,migrated_adjusted_lower,moe_adjusted,winning_party,winner_percent_of_votes
17,Louisiana,274,316,4657757,590,-42,5.8826598296132664e-05,0.00012667041238948276,-9.017215797217417e-06,6.784381409335009e-05,REPUBLICAN,0.5672202134108999
18,Maine,113,188,1362359,301,-75,8.29443634166912e-05,0.0002209402954727792,-5.505156863939681e-05,0.000137995932056088,DEMOCRAT,0.5357285569259347
19,Massachusetts,755,515,7029917,1270,240,0.00010739813855554767,0.00018065647147754376,3.4139805633551576e-05,7.325833292199609e-05,DEMOCRAT,0.616166602048537
20,Michigan,719,752,10077331,1471,-33,7.134825679537568e-05,0.0001459711901891483,-3.2746765983969368e-06,7.462293339377261e-05,DEMOCRAT,0.5123070672905647
21,Minnesota,68,79,5706494,147,-11,1.1916248400506511e-05,2.5760125218742016e-05,-1.9276284177289943e-06,1.3843876818235505e-05,REPUBLICAN,0.4761353379152145
22,Mississippi,440,361,2961279,801,79,0.00014858444611264254,0.0002704912303096061,2.6677661915679e-05,0.00012190678419696355,REPUBLICAN,0.5901437414899142
23,Missouri,276,219,6154913,495,57,4.484222603958821e-05,8.04235575710006e-05,9.260894508175826e-06,3.558133153141239e-05,REPUBLICAN,0.5329619193926551
24,Montana,27,46,1084225,73,-19,2.4902580184002397e-05,6.732919827526575e-05,-1.7524037907260945e-05,4.242661809126334e-05,REPUBLICAN,0.5906814316858852
25,Nebraska,0,292,1961504,292,-292,0.0,0.00014886536045809746,-0.00014886536045809746,0.00014886536045809746,REPUBLICAN,0.6589864119889075
26,Nevada,49,82,3104614,131,-33,1.5782960458208333e-05,4.219526163316921e-05,-1.0629340716752549e-05,2.641230117496088e-05,REPUBLICAN,0.504696915453111
27,New Hampshire,265,201,1377529,466,64,0.00019237344549552133,0.0003382868890600488,4.646000193099383e-05,0.00014591344356452749,DEMOCRAT,0.5020161082255741
28,New Jersey,784,370,9288994,1154,414,8.440095881211678e-05,0.00012423304396579437,4.4568873658439224e-05,3.983208515367757e-05,DEMOCRAT,0.5292340900702746
29,New Mexico,181,217,2117522,398,-36,8.547727012989711e-05,0.00018795554426353069,-1.700100400373644e-05,0.00010247827413363356,REPUBLICAN,0.498384247604138
30,New York,4831,1471,20201249,6302,3360,0.00023914362918847247,0.00031196090895171876,0.00016632634942522615,7.281727976324632e-05,DEMOCRAT,0.5613058126549186
31,North Carolina,1730,916,10439388,2646,814,0.00016571852679486576,0.0002534631340457889,7.797391954394261e-05,8.774460725092314e-05,REPUBLICAN,0.5601719733779452
32,North Dakota,0,292,779094,292,-292,0.0,0.0003747943123679556,-0.0003747943123679556,0.0003747943123679556,REPUBLICAN,0.6286133496146507
33,Ohio,1169,694,11799448,1863,475,9.907243118491644e-05,0.00015788874191402852,4.025612045580437e-05,5.881631072911207e-05,REPUBLICAN,0.508140243355296
34,Oklahoma,154,186,3959353,340,-32,3.8895243743106515e-05,8.587261605620919e-05,-8.082128569996158e-06,4.697737231310267e-05,REPUBLICAN,0.6557040166475606
35,Oregon,154,194,4237256,348,-40,3.6344275634986416e-05,8.21286228634758e-05,-9.440071593502966e-06,4.5784347228489384e-05,DEMOCRAT,0.5134866304221187
36,Pennsylvania,2918,1152,13002700,4070,1766,0.00022441492920701085,0.00031301191291039553,0.00013581794550362618,8.859698370338468e-05,DEMOCRAT,0.5092380914415062
37,Rhode Island,189,205,1097379,394,-16,0.00017222855549450098,0.00035903730616313964,-1.4580195174137649e-05,0.00018680875066863864,DEMOCRAT,0.5942342622628302
38,South Carolina,502,403,5118425,905,99,9.807704518479806e-05,0.0001768122029725941,1.9341887397002008e-05,7.873515778779605e-05,REPUBLICAN,0.5798194968164678
39,South Dakota,0,292,886667,292,-292,0.0,0.0003293231844649682,-0.0003293231844649682,0.0003293231844649682,REPUBLICAN,0.5991113171824891
40,Tennessee,50,84,6910840,134,-34,7.235010505235254e-06,1.938982815403048e-05,-4.919807143559973e-06,1.2154817648795226e-05,REPUBLICAN,0.5679908949136325
41,Texas,2015,1154,29145505,3169,861,6.913587532622956e-05,0.00010873031707633819,2.9541433576120916e-05,3.9594441750108634e-05,REPUBLICAN,0.6108582276906154
42,Utah,201,201,3271616,402,0,6.143752812065963e-05,0.00012287505624131926,0.0,6.143752812065963e-05,REPUBLICAN,0.7153594785330293
43,Vermont,0,292,643077,292,-292,0.0,0.0004540669313317068,-0.0004540669313317068,0.0004540669313317068,DEMOCRAT,0.5893746257712714
44,Washington,464,323,7705281,787,141,6.021843979473299e-05,0.000102137741634601,1.829913795486498e-05,4.191930183986801e-05,DEMOCRAT,0.5282114831183694
45,West Virginia,205,253,1793716,458,-48,0.00011428788057864232,0.0002553358502683814,-2.676008911109674e-05,0.00014104796968973906,REPUBLICAN,0.5607071786946674
46,Wisconsin,266,256,5893718,522,10,4.5132800721038906e-05,8.856887961045981e-05,1.696721831618004e-06,4.3436078889420904e-05,DEMOCRAT,0.4969971708441121
47,Wyoming,0,292,576851,292,-292,0.0,0.0005061965741586649,-0.0005061965741586649,0.0005061965741586649,REPUBLICAN,0.6873956885274808
