,state,pop_migrated,MOE +/-,state_population,pop_migrated_upper,pop_migrated_lower,migrated_adjusted,migrated_adjusted_upper,migrated_adjusted_lower,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,0,292,5024279,292,-292,0.0,5.8117791627415596e-05,-5.8117791627415596e-05,5.8117791627415596e-05,REPUBLICAN,0.6246068975770077
1,Alaska,288,356,733391,644,-68,0.00039269639251095256,0.0008781127665869912,-9.271998156508602e-05,0.00048541637407603855,REPUBLICAN,0.6106532991253942
2,Arizona,225,215,7151502,440,10,3.146192226472145e-05,6.152553687323306e-05,1.3983076562098423e-06,3.006361460851161e-05,REPUBLICAN,0.5486943408601376
3,Arkansas,174,280,3011524,454,-106,5.777805523050788e-05,0.0001507542360612102,-3.5198125600194454e-05,9.297618083070233e-05,REPUBLICAN,0.5430595907843537
4,California,2672,1258,39538223,3930,1414,6.758017425315245e-05,9.939748683191958e-05,3.5762861674385314e-05,3.1817312578767134e-05,DEMOCRAT,0.5430555753467436
5,Colorado,135,166,5773714,301,-31,2.338183013568043e-05,5.213282126548007e-05,-5.36916099411921e-06,2.875099112979964e-05,REPUBLICAN,0.5171109535459211
6,Connecticut,1033,572,3605944,1605,461,0.0002864714482532175,0.00044509842637600585,0.00012784447013042908,0.00015862697812278837,DEMOCRAT,0.543137089719902
7,Delaware,2474,475,989948,2949,1999,0.002499121165960232,0.0029789443485920475,0.002019297983328417,0.000479823182631815,DEMOCRAT,0.5334683760228152
8,Florida,892,524,21538187,1416,368,4.141481360524913e-05,6.574369514017127e-05,1.7085932070326997e-05,2.4328881534922135e-05,REPUBLICAN,0.5209751623233695
9,Georgia,921,710,10711908,1631,211,8.597908047753957e-05,0.00015226045630713036,1.9697704647948807e-05,6.628137582959077e-05,REPUBLICAN,0.5797475676698846
10,Hawaii,123,202,1455271,325,-79,8.452034019780508e-05,0.00022332610214867196,-5.42854217530618e-05,0.00013880576195086689,DEMOCRAT,0.5400955215809311
11,Idaho,130,106,1839106,236,24,7.068651834097654e-05,0.00012832321791131127,1.3049818770641823e-05,5.7636699570334714e-05,REPUBLICAN,0.6839094482399026
12,Illinois,1796,694,12812508,2490,1102,0.00014017552223186906,0.00019434134206979618,8.600970239394191e-05,5.416581983792713e-05,DEMOCRAT,0.5482316020902781
13,Indiana,627,758,6785528,1385,-131,9.240253669279679e-05,0.00020411086653831508,-1.93057931527215e-05,0.00011170832984551828,REPUBLICAN,0.5994476503665718
14,Iowa,117,193,3190369,310,-76,3.6672873890136216e-05,9.716744364053186e-05,-2.3821695860259423e-05,6.0494569750395646e-05,REPUBLICAN,0.4990065750530225
15,Kansas,359,359,2937880,718,0,0.0001221969583509197,0.0002443939167018394,0.0,0.0001221969583509197,REPUBLICAN,0.620039806155473
16,Kentucky,536,563,4505836,1099,-27,0.0001189568373105457,0.00024390590336621217,-5.992228745120772e-06,0.00012494906605566648,REPUBLICAN,0.5954951383220055
