,state,year,party_detailed,percent_total_votes
96,Alabama,2012,REPUBLICAN,0.6054582232982282
97,Alaska,2012,REPUBLICAN,0.5480157739729447
98,Arizona,2012,REPUBLICAN,0.536545331659747
99,Arkansas,2012,REPUBLICAN,0.6056693608410911
100,California,2012,DEMOCRAT,0.6023895914168964
101,Colorado,2012,DEMOCRAT,0.5149222655161517
102,Connecticut,2012,DEMOCRAT,0.5808501325885442
103,Delaware,2012,DEMOCRAT,0.5861074198458528
104,Florida,2012,DEMOCRAT,0.5000786506869869
105,Georgia,2012,REPUBLICAN,0.5332924217752452
106,Hawaii,2012,DEMOCRAT,0.7014793244563191
107,Idaho,2012,REPUBLICAN,0.6452978349589283
108,Illinois,2012,DEMOCRAT,0.5760213536247709
109,Indiana,2012,REPUBLICAN,0.5412553238022445
110,Iowa,2012,DEMOCRAT,0.5198801653414908
111,Kansas,2012,REPUBLICAN,0.5971132036921613
112,Kentucky,2012,REPUBLICAN,0.6049314159932162
113,Louisiana,2012,REPUBLICAN,0.5778457572847425
114,Maine,2012,DEMOCRAT,0.5537103419348252
115,Massachusetts,2012,DEMOCRAT,0.6033830832021647
116,Michigan,2012,DEMOCRAT,0.5420820421051875
117,Minnesota,2012,REPUBLICAN,0.4495820110666865
118,Mississippi,2012,REPUBLICAN,0.5528584674358112
119,Missouri,2012,REPUBLICAN,0.5376374113587709
120,Montana,2012,REPUBLICAN,0.553515353849205
121,Nebraska,2012,REPUBLICAN,0.5980319217904804
122,Nevada,2012,DEMOCRAT,0.5235624947040056
123,New Hampshire,2012,DEMOCRAT,0.5197968415071198
124,New Jersey,2012,DEMOCRAT,0.5834235491063761
125,New Mexico,2012,DEMOCRAT,0.5299276052046678
126,New York,2012,DEMOCRAT,0.6076098417487449
127,North Carolina,2012,REPUBLICAN,0.5039306410214295
128,North Dakota,2012,REPUBLICAN,0.5831568255855722
129,Ohio,2012,DEMOCRAT,0.5066674765831987
130,Oklahoma,2012,REPUBLICAN,0.6677231974301656
131,Oregon,2012,DEMOCRAT,0.54239326652769
132,Pennsylvania,2012,DEMOCRAT,0.520768577021407
133,Rhode Island,2012,DEMOCRAT,0.627009588632639
134,South Carolina,2012,REPUBLICAN,0.5456113125586141
135,South Dakota,2012,REPUBLICAN,0.5788931187554114
136,Tennessee,2012,REPUBLICAN,0.5947871471993759
137,Texas,2012,REPUBLICAN,0.5716697746805639
138,Utah,2012,REPUBLICAN,0.727905331026891
139,Vermont,2012,DEMOCRAT,0.665705503023823
140,Washington,2012,DEMOCRAT,0.5616339829967276
141,West Virginia,2012,REPUBLICAN,0.6229584241943327
142,Wisconsin,2012,DEMOCRAT,0.5277616253515459
143,Wyoming,2012,REPUBLICAN,0.6819358518713527
