,state,year,party_detailed,percent_total_votes
192,Alabama,2020,REPUBLICAN,0.620316431668648
193,Alaska,2020,REPUBLICAN,0.5283314327038078
194,Arizona,2020,DEMOCRAT,0.49364690614366613
195,Arkansas,2020,REPUBLICAN,0.6239572985614432
196,California,2020,DEMOCRAT,0.6348394689387351
197,Colorado,2020,DEMOCRAT,0.5501106714065329
198,Connecticut,2020,DEMOCRAT,0.5926073151568352
199,Delaware,2020,DEMOCRAT,0.5874300579364167
200,Florida,2020,REPUBLICAN,0.5121981962250404
201,Georgia,2020,DEMOCRAT,0.49473055784446274
202,Hawaii,2020,DEMOCRAT,0.6314937976901742
203,Idaho,2020,REPUBLICAN,0.6383756483190364
204,Illinois,2020,DEMOCRAT,0.5754164537667581
205,Indiana,2020,REPUBLICAN,0.5702115776570512
206,Iowa,2020,REPUBLICAN,0.5280019763194579
207,Kansas,2020,REPUBLICAN,0.5621251283426474
208,Kentucky,2020,REPUBLICAN,0.6208657186929044
209,Louisiana,2020,REPUBLICAN,0.5846088241400853
210,Maine,2020,DEMOCRAT,0.5252557934577239
211,Massachusetts,2020,DEMOCRAT,0.6512298370286536
212,Michigan,2020,DEMOCRAT,0.5062081829082437
213,Minnesota,2020,DEMOCRAT,0.5239509930974001
214,Mississippi,2020,REPUBLICAN,0.5760295457538255
215,Missouri,2020,REPUBLICAN,0.5679965577888949
216,Montana,2020,REPUBLICAN,0.5691846924002028
217,Nebraska,2020,REPUBLICAN,0.5822416333205421
218,Nevada,2020,DEMOCRAT,0.5005678195728402
219,New Hampshire,2020,DEMOCRAT,0.5270782528014766
220,New Jersey,2020,DEMOCRAT,0.5733419675281298
221,New Mexico,2020,DEMOCRAT,0.5428928584957222
222,New York,2020,DEMOCRAT,0.603918845358349
223,North Carolina,2020,REPUBLICAN,0.4993433248829551
224,North Dakota,2020,REPUBLICAN,0.6511404873707572
225,Ohio,2020,REPUBLICAN,0.5327130010087464
226,Oklahoma,2020,REPUBLICAN,0.6537327184806295
227,Oregon,2020,DEMOCRAT,0.5645331865404888
228,Pennsylvania,2020,DEMOCRAT,0.5000849567544814
229,Rhode Island,2020,DEMOCRAT,0.5947619876593357
230,South Carolina,2020,REPUBLICAN,0.5509348091719648
231,South Dakota,2020,REPUBLICAN,0.6176938967225024
232,Tennessee,2020,REPUBLICAN,0.6066029416628381
233,Texas,2020,REPUBLICAN,0.5205760360355265
234,Utah,2020,REPUBLICAN,0.5812983902991959
235,Vermont,2020,DEMOCRAT,0.6545578055250049
236,Washington,2020,DEMOCRAT,0.5797030113530306
237,West Virginia,2020,REPUBLICAN,0.6863155192461606
238,Wisconsin,2020,DEMOCRAT,0.4944953686142774
239,Wyoming,2020,REPUBLICAN,0.6949978994840271
