,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,174,225,5024279,3.4631834736884636e-05,4.47825449183853e-05,REPUBLICAN,0.6208309236440906
1,Alaska,0,213,733391,0.0,0.0002904317069612253,REPUBLICAN,0.5128151207753728
2,Arizona,204,220,7151502,2.8525476186680784e-05,3.076276843661653e-05,REPUBLICAN,0.4867161647232105
3,Arkansas,0,213,3011524,0.0,7.072830898906998e-05,REPUBLICAN,0.6057410216382829
4,California,3803,1151,39538223,9.618540519638427e-05,2.9111070570875176e-05,DEMOCRAT,0.6172639960455788
5,Colorado,336,289,5773714,5.81947772265824e-05,5.0054436364530697e-05,DEMOCRAT,0.481569803828474
6,Connecticut,262,190,3605944,7.265781165764083e-05,5.2690779446380755e-05,DEMOCRAT,0.5456630109670987
7,Delaware,182,215,989948,0.00018384804050313754,0.00021718312477018995,DEMOCRAT,0.5335333680563419
8,Florida,1789,842,21538187,8.306177302667118e-05,3.909335544351992e-05,REPUBLICAN,0.4902194141659073
9,Georgia,647,392,10711908,6.0400070650345394e-05,3.6594787781971244e-05,REPUBLICAN,0.50771326054771
10,Hawaii,124,213,1455271,8.520749743518561e-05,0.0001463644915620527,DEMOCRAT,0.6098079805512905
11,Idaho,0,213,1839106,0.0,0.00011581714158944617,REPUBLICAN,0.5926143236919689
12,Illinois,1066,655,12812508,8.319994805076414e-05,5.112191929948453e-05,DEMOCRAT,0.558253666987933
13,Indiana,146,163,6785528,2.1516380154941518e-05,2.402171209079087e-05,REPUBLICAN,0.5694003344841128
14,Iowa,162,160,3190369,5.0777825386342456e-05,5.015093865317773e-05,REPUBLICAN,0.5116206134467737
15,Kansas,0,213,2937880,0.0,7.250125941154846e-05,REPUBLICAN,0.5665458180583958
16,Kentucky,110,108,4505836,2.441278377641796e-05,2.3968914980483088e-05,REPUBLICAN,0.6251963855190009
17,Louisiana,0,213,4657757,0.0,4.573016582874547e-05,REPUBLICAN,0.580886846535688
18,Maine,61,103,1362359,4.4775275826709404e-05,7.560415426477161e-05,DEMOCRAT,0.4634521409730895
19,Massachusetts,1664,441,7029917,0.00023670265239262426,6.273189285165102e-05,DEMOCRAT,0.5905006509667129
20,Michigan,486,319,10077331,4.822705535820943e-05,3.1655207117837056e-05,REPUBLICAN,0.4749756421999614
21,Minnesota,143,138,5706494,2.5059169430476927e-05,2.4182974695145565e-05,DEMOCRAT,0.4644503396176695
22,Mississippi,146,263,2961279,4.930302075555866e-05,8.881297574460225e-05,REPUBLICAN,0.5794103808883564
23,Missouri,201,182,6154913,3.2656838528830546e-05,2.9569873692771936e-05,REPUBLICAN,0.5677234783816165
24,Montana,92,77,1084225,8.485323618252668e-05,7.101846941363646e-05,REPUBLICAN,0.5646619186857719
25,Nebraska,0,213,1961504,0.0,0.00010859014307388616,REPUBLICAN,0.5874735112712576
26,Nevada,36,83,3104614,1.1595644418275508e-05,2.6734402408801866e-05,DEMOCRAT,0.4791782367811904
27,New Hampshire,130,225,1377529,9.437187892233122e-05,0.0001633359442886502,DEMOCRAT,0.4682626266969055
28,New Jersey,2382,894,9288994,0.00025643250496232425,9.624293007402094e-05,DEMOCRAT,0.554530844496942
29,New Mexico,0,213,2117522,0.0,0.00010058927368877395,DEMOCRAT,0.482556471786341
30,New York,4642,1361,20201249,0.00022978777203330348,6.737207189515856e-05,DEMOCRAT,0.5613614259984896
31,North Carolina,1026,569,10439388,9.828162340550998e-05,5.45051108359992e-05,REPUBLICAN,0.4982809469618041
32,North Dakota,0,213,779094,0.0,0.0002733944812821046,REPUBLICAN,0.629556278313393
33,Ohio,1592,805,11799448,0.00013492156582240117,6.822353045667899e-05,REPUBLICAN,0.5168765067578619
34,Oklahoma,0,213,3959353,0.0,5.379666829403693e-05,REPUBLICAN,0.6532286481962736
35,Oregon,80,134,4237256,1.8880143187005932e-05,3.162423983823493e-05,DEMOCRAT,0.5007185200286208
36,Pennsylvania,1617,591,13002700,0.00012435878702115715,4.545209841033016e-05,REPUBLICAN,0.4857788580374602
37,Rhode Island,87,96,1097379,7.927981125937347e-05,8.74811710448259e-05,DEMOCRAT,0.5440660657037472
38,South Carolina,408,253,5118425,7.971202078764463e-05,4.9429267792338465e-05,REPUBLICAN,0.5493933268569543
39,South Dakota,0,213,886667,0.0,0.000240225473599446,REPUBLICAN,0.615307503789588
40,Tennessee,690,478,6910840,9.98431449722465e-05,6.916670043004903e-05,REPUBLICAN,0.6072203369421462
41,Texas,1036,648,29145505,3.554578999403167e-05,2.223327405032097e-05,REPUBLICAN,0.5223468557933538
42,Utah,215,187,3271616,6.571675893503394e-05,5.7158297306285335e-05,REPUBLICAN,0.4554081658810042
43,Vermont,213,345,643077,0.00033122005607415597,0.0005364831894158864,DEMOCRAT,0.5572274212321393
44,Washington,387,331,7705281,5.0225293535693244e-05,4.2957550801846165e-05,DEMOCRAT,0.5253868006182659
45,West Virginia,294,401,1793716,0.00016390554580546752,0.000223558244448954,REPUBLICAN,0.6863057481161936
46,Wisconsin,346,377,5893718,5.8706575373982945e-05,6.396641305199875e-05,REPUBLICAN,0.4721818456731012
47,Wyoming,68,113,576851,0.00011788139398215483,0.0001958911399997573,REPUBLICAN,0.6739841105460841
