,state,pop_migrated_2018,pop_migrated_2019,pop_migrated_2021,18-19_avg,winning_party,winner_percent_of_votes,pct_change_pre_post_election,avg_all years,anomaly
0,Alabama,174.0,462.0,342.0,318.0,REPUBLICAN,0.620316431668648,7.547169811320755,231.46666666666667,1.4775345622119815
1,Alaska,0.0,338.0,196.0,169.0,REPUBLICAN,0.5283314327038078,15.976331360946746,302.6,0.6477197620621282
2,Arizona,204.0,291.0,674.0,247.5,DEMOCRAT,0.4936469061436661,172.32323232323233,364.8,1.8475877192982455
3,Arkansas,0.0,0.0,37.0,0.0,REPUBLICAN,0.6239572985614432,inf,97.86666666666666,0.37806539509536785
4,California,3803.0,3437.0,3945.0,3620.0,DEMOCRAT,0.6348394689387351,8.977900552486188,3383.4,1.16598687710587
5,Colorado,336.0,870.0,261.0,603.0,DEMOCRAT,0.5501106714065329,-56.71641791044776,499.73333333333335,0.5222785485592316
6,Connecticut,262.0,1298.0,1102.0,780.0,DEMOCRAT,0.5926073151568352,41.28205128205128,992.2666666666667,1.11058855146466
7,Delaware,182.0,0.0,3560.0,91.0,DEMOCRAT,0.5874300579364167,3812.0879120879126,454.6,7.831060272767267
8,Florida,1789.0,1496.0,2581.0,1642.5,REPUBLICAN,0.5121981962250404,57.138508371385086,1654.3333333333333,1.5601450735442273
9,Georgia,647.0,1190.0,1662.0,918.5,DEMOCRAT,0.4947305578444627,80.9471965160588,1027.9333333333334,1.6168363707114597
10,Hawaii,124.0,0.0,0.0,62.0,DEMOCRAT,0.6314937976901742,-100.0,155.13333333333333,0.0
11,Idaho,0.0,28.0,93.0,14.0,REPUBLICAN,0.6383756483190364,564.2857142857143,37.6,2.473404255319149
12,Illinois,1066.0,1361.0,1736.0,1213.5,DEMOCRAT,0.5754164537667581,43.0572723526988,1298.0,1.337442218798151
13,Indiana,146.0,427.0,159.0,286.5,REPUBLICAN,0.5702115776570512,-44.50261780104712,387.06666666666666,0.41078194970719945
14,Iowa,162.0,59.0,145.0,110.5,REPUBLICAN,0.5280019763194579,31.221719457013574,120.73333333333333,1.2009939260077305
15,Kansas,0.0,41.0,503.0,20.5,REPUBLICAN,0.5621251283426474,2353.6585365853657,76.33333333333333,6.589519650655022
16,Kentucky,110.0,131.0,202.0,120.5,REPUBLICAN,0.6208657186929044,67.63485477178423,167.53333333333333,1.2057302029446877
17,Louisiana,0.0,452.0,324.0,226.0,REPUBLICAN,0.5846088241400853,43.36283185840708,308.4,1.0505836575875487
18,Maine,61.0,448.0,1028.0,254.5,DEMOCRAT,0.5252557934577239,303.92927308447935,133.8,7.683109118086696
19,Massachusetts,1664.0,2383.0,2389.0,2023.5,DEMOCRAT,0.6512298370286536,18.062762540153198,1815.2,1.3161084178052005
20,Michigan,486.0,758.0,607.0,622.0,DEMOCRAT,0.5062081829082437,-2.4115755627009645,674.5333333333333,0.8998813994860645
21,Minnesota,143.0,278.0,726.0,210.5,DEMOCRAT,0.5239509930974001,244.89311163895485,250.53333333333333,2.8978179882916444
22,Mississippi,146.0,265.0,29.0,205.5,REPUBLICAN,0.5760295457538255,-85.88807785888078,119.2,0.24328859060402683
23,Missouri,201.0,976.0,87.0,588.5,REPUBLICAN,0.5679965577888949,-85.21665250637214,307.1333333333333,0.2832645973518559
24,Montana,92.0,4.0,65.0,48.0,REPUBLICAN,0.5691846924002028,35.41666666666667,34.4,1.8895348837209303
