,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,359,302,5024279,7.145303833644588e-05,6.010812695712161e-05,REPUBLICAN,0.6054582232982282
1,Alaska,235,257,733391,0.000320429348055812,0.0003504269891503986,REPUBLICAN,0.5480157739729447
2,Arizona,367,293,7151502,5.131789098290121e-05,4.0970414326948383e-05,REPUBLICAN,0.536545331659747
3,Arkansas,203,200,3011524,6.740773110225919e-05,6.641155773621595e-05,REPUBLICAN,0.6056693608410911
4,California,4119,1258,39538223,0.0001041776713131493,3.1817312578767134e-05,DEMOCRAT,0.6023895914168964
5,Colorado,433,360,5773714,7.499505517592315e-05,6.235154702848115e-05,DEMOCRAT,0.5149222655161517
6,Connecticut,1292,648,3605944,0.0003582973002353891,0.00017970328990134067,DEMOCRAT,0.5808501325885442
7,Delaware,252,251,989948,0.0002545588253120366,0.000253548671243338,DEMOCRAT,0.5861074198458528
8,Florida,2731,936,21538187,0.00012679804479364952,4.345769678757084e-05,DEMOCRAT,0.5000786506869869
9,Georgia,1013,533,10711908,9.456765312024711e-05,4.975770889742518e-05,REPUBLICAN,0.5332924217752452
10,Hawaii,52,122,1455271,3.5732176343787516e-05,8.383318296042456e-05,DEMOCRAT,0.7014793244563191
11,Idaho,5,11,1839106,2.7187122438837132e-06,5.981166936544169e-06,REPUBLICAN,0.6452978349589283
12,Illinois,785,357,12812508,6.12682544276265e-05,2.7863397236512944e-05,DEMOCRAT,0.5760213536247709
13,Indiana,748,460,6785528,0.00011023460517737161,6.779133473474725e-05,REPUBLICAN,0.5412553238022445
14,Iowa,135,169,3190369,4.231485448861871e-05,5.297192895241898e-05,DEMOCRAT,0.5198801653414908
15,Kansas,33,77,2937880,1.1232589486296241e-05,2.620937546802456e-05,REPUBLICAN,0.5971132036921613
16,Kentucky,275,252,4505836,6.10319594410449e-05,5.592746828779387e-05,REPUBLICAN,0.6049314159932162
17,Louisiana,392,388,4657757,8.416068077402921e-05,8.330189831715137e-05,REPUBLICAN,0.5778457572847425
18,Maine,258,208,1362359,0.00018937739611952503,0.00015267635035992716,DEMOCRAT,0.5537103419348252
19,Massachusetts,2876,1070,7029917,0.00040910867084205973,0.0001522066334495841,DEMOCRAT,0.6033830832021647
20,Michigan,1308,539,10077331,0.0001297962724455513,5.3486384440483295e-05,DEMOCRAT,0.5420820421051875
21,Minnesota,545,495,5706494,9.550522615111835e-05,8.674327879780474e-05,REPUBLICAN,0.4495820110666865
22,Mississippi,338,211,2961279,0.00011413986996834813,7.125299574947177e-05,REPUBLICAN,0.5528584674358112
23,Missouri,141,139,6154913,2.2908528520224413e-05,2.2583584853270875e-05,REPUBLICAN,0.5376374113587709
24,Montana,0,200,1084225,0.0,0.00018446355691853627,REPUBLICAN,0.553515353849205
25,Nebraska,674,423,1961504,0.00034361387996149895,0.00021565084751292885,REPUBLICAN,0.5980319217904804
26,Nevada,68,92,3104614,2.190288390118707e-05,2.9633313513370744e-05,DEMOCRAT,0.5235624947040056
27,New Hampshire,47,59,1377529,3.4119063918073596e-05,4.283031428013494e-05,DEMOCRAT,0.5197968415071198
28,New Jersey,1804,800,9288994,0.00019420832869522793,8.612342735930284e-05,DEMOCRAT,0.5834235491063761
29,New Mexico,40,68,2117522,1.8890004448596047e-05,3.211300756261328e-05,DEMOCRAT,0.5299276052046678
30,New York,5133,1205,20201249,0.0002540931998808589,5.964977710041592e-05,DEMOCRAT,0.6076098417487449
31,North Carolina,1501,695,10439388,0.00014378237498213496,6.657478388579867e-05,REPUBLICAN,0.5039306410214295
32,North Dakota,0,200,779094,0.0,0.00025670843312873673,REPUBLICAN,0.5831568255855722
33,Ohio,1027,713,11799448,8.703796991181283e-05,6.0426555547344246e-05,DEMOCRAT,0.5066674765831987
34,Oklahoma,150,204,3959353,3.788497767185699e-05,5.152356963372551e-05,REPUBLICAN,0.6677231974301656
35,Oregon,157,211,4237256,3.705228100449914e-05,4.9796377655728144e-05,DEMOCRAT,0.54239326652769
36,Pennsylvania,1999,637,13002700,0.000153737300714467,4.8989825190152816e-05,DEMOCRAT,0.520768577021407
37,Rhode Island,234,208,1097379,0.00021323535442176314,0.00018954253726378946,DEMOCRAT,0.627009588632639
38,South Carolina,1806,1518,5118425,0.00035284291554530935,0.0002965756067540308,REPUBLICAN,0.5456113125586141
39,South Dakota,9,21,886667,1.0150372123920255e-05,2.368420162248059e-05,REPUBLICAN,0.5788931187554114
40,Tennessee,873,430,6910840,0.00012632328342140754,6.222109034502318e-05,REPUBLICAN,0.5947871471993759
41,Texas,1314,584,29145505,4.508413904648418e-05,2.003739513177075e-05,REPUBLICAN,0.5716697746805639
42,Utah,177,187,3271616,5.410170386744655e-05,5.7158297306285335e-05,REPUBLICAN,0.727905331026891
43,Vermont,117,143,643077,0.00018193777728017018,0.00022236839445354133,DEMOCRAT,0.665705503023823
44,Washington,134,164,7705281,1.7390670113134095e-05,2.1284103720552178e-05,DEMOCRAT,0.5616339829967276
45,West Virginia,478,432,1793716,0.000266485887398005,0.00024084080199987065,REPUBLICAN,0.6229584241943327
46,Wisconsin,514,421,5893718,8.721150214516542e-05,7.143198911111798e-05,DEMOCRAT,0.5277616253515459
47,Wyoming,0,200,576851,0.0,0.0003467099823004554,REPUBLICAN,0.6819358518713527
