,state,pop_migrated,MOE +/-,state_population,pop_migrated_upper,pop_migrated_lower,migrated_adjusted,migrated_adjusted_upper,migrated_adjusted_lower,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,453,492,5024279,945,-39,9.016219043568241e-05,0.0001880866886572183,-7.762307785853453e-06,9.792449822153587e-05,REPUBLICAN,0.6246068975770077
1,Alaska,0,300,733391,300,-300,0.0,0.0004090587421989089,-0.0004090587421989089,0.0004090587421989089,REPUBLICAN,0.6106532991253942
2,Arizona,296,308,7151502,604,-12,4.138990662381133e-05,8.445778243507448e-05,-1.6779691874518108e-06,4.3067875811263145e-05,REPUBLICAN,0.5486943408601376
3,Arkansas,574,706,3011524,1280,-132,0.00019060117070293978,0.00042503396951178206,-4.383162810590253e-05,0.0002344327988088423,REPUBLICAN,0.5430595907843537
4,California,4178,1801,39538223,5979,2377,0.00010566989821469721,0.00015122075668398148,6.011903974541294e-05,4.555085846928427e-05,DEMOCRAT,0.5430555753467436
5,Colorado,489,382,5773714,871,107,8.469418471368689e-05,0.00015085610406057523,1.8532265366798564e-05,6.616191934688832e-05,REPUBLICAN,0.5171109535459211
6,Connecticut,1438,776,3605944,2214,662,0.0003987860044415554,0.0006139862404962473,0.00018358576838686347,0.00021520023605469193,DEMOCRAT,0.543137089719902
7,Delaware,471,284,989948,755,187,0.00047578256635702075,0.0007626663218674113,0.00018889881084663032,0.00028688375551039045,DEMOCRAT,0.5334683760228152
8,Florida,2307,985,21538187,3292,1322,0.00010711207958218581,0.00015284480536825127,6.137935379612035e-05,4.5732725786065466e-05,REPUBLICAN,0.5209751623233695
9,Georgia,501,348,10711908,849,153,4.6770379282570386e-05,7.925758884411629e-05,1.428316972102449e-05,3.24872095615459e-05,REPUBLICAN,0.5797475676698846
10,Hawaii,252,260,1455271,512,-8,0.00017316362381989333,0.0003518245055388309,-5.497257899044233e-06,0.00017866088171893758,DEMOCRAT,0.5400955215809311
11,Idaho,47,77,1839106,124,-30,2.5555895092506904e-05,6.742406364831608e-05,-1.6312273463302278e-05,4.186816855580918e-05,REPUBLICAN,0.6839094482399026
12,Illinois,1239,518,12812508,1757,721,9.670237864436846e-05,0.00013713162169342645,5.627313559531046e-05,4.0429243049058e-05,DEMOCRAT,0.5482316020902781
13,Indiana,124,163,6785528,287,-39,1.8274185885018822e-05,4.229589797580969e-05,-5.747526205772049e-06,2.402171209079087e-05,REPUBLICAN,0.5994476503665718
14,Iowa,111,184,3190369,295,-73,3.479221369064205e-05,9.246579314179645e-05,-2.2881365760512342e-05,5.76735794511544e-05,REPUBLICAN,0.4990065750530225
15,Kansas,0,300,2937880,300,-300,0.0,0.00010211444987542037,-0.00010211444987542037,0.00010211444987542037,REPUBLICAN,0.620039806155473
16,Kentucky,202,218,4505836,420,-16,4.483074838942207e-05,9.321244714632313e-05,-3.550950367478976e-06,4.838169875690105e-05,REPUBLICAN,0.5954951383220055
17,Louisiana,96,158,4657757,254,-62,2.061077896506838e-05,5.453268601174342e-05,-1.3311128081606661e-05,3.392190704667504e-05,REPUBLICAN,0.5672202134108999
18,Maine,53,89,1362359,142,-36,3.890310850517375e-05,0.00010423096995725797,-2.6424752946910468e-05,6.532786145208422e-05,DEMOCRAT,0.5357285569259347
19,Massachusetts,1659,714,7029917,2373,945,0.00023599140644192527,0.0003375573282017412,0.00013442548468210934,0.00010156592175981594,DEMOCRAT,0.616166602048537
20,Michigan,419,268,10077331,687,151,4.157846953722171e-05,6.817281282117259e-05,1.498412625327083e-05,2.659434328395088e-05,DEMOCRAT,0.5123070672905647
21,Minnesota,0,300,5706494,300,-300,0.0,5.2571684119881664e-05,-5.2571684119881664e-05,5.2571684119881664e-05,REPUBLICAN,0.4761353379152145
22,Mississippi,0,300,2961279,300,-300,0.0,0.00010130757689498355,-0.00010130757689498355,0.00010130757689498355,REPUBLICAN,0.5901437414899142
23,Missouri,355,336,6154913,691,19,5.7677500884252955e-05,0.0001122680369324473,3.086964836058609e-06,5.459053604819434e-05,REPUBLICAN,0.5329619193926551
24,Montana,119,197,1084225,316,-78,0.00010975581636652909,0.0002914524199312873,-7.194078719822915e-05,0.00018169660356475825,REPUBLICAN,0.5906814316858852
25,Nebraska,102,175,1961504,277,-73,5.200091358467788e-05,0.00014121816728388014,-3.7216340114524364e-05,8.921725369920224e-05,REPUBLICAN,0.6589864119889075
26,Nevada,53,89,3104614,142,-36,1.7071365393572278e-05,4.573837520542006e-05,-1.1595644418275508e-05,2.8667009811847785e-05,REPUBLICAN,0.504696915453111
27,New Hampshire,108,112,1377529,220,-4,7.84012532585521e-05,0.00015970625663779128,-2.9037501206871143e-06,8.13050033792392e-05,DEMOCRAT,0.5020161082255741
28,New Jersey,778,362,9288994,1140,416,8.375503310692202e-05,0.00012272588398700655,4.478418222683748e-05,3.897085088008454e-05,DEMOCRAT,0.5292340900702746
29,New Mexico,107,194,2117522,301,-87,5.053076189999443e-05,0.00014214728347568525,-4.1085759675696403e-05,9.161652157569083e-05,REPUBLICAN,0.498384247604138
30,New York,3751,957,20201249,4708,2794,0.00018568158830179263,0.00023305489675415613,0.0001383082798494291,4.737330845236351e-05,DEMOCRAT,0.5613058126549186
31,North Carolina,534,323,10439388,857,211,5.1152423877721565e-05,8.209293494982656e-05,2.0211912805616575e-05,3.094051107210499e-05,REPUBLICAN,0.5601719733779452
32,North Dakota,0,300,779094,300,-300,0.0,0.00038506264969310507,-0.00038506264969310507,0.00038506264969310507,REPUBLICAN,0.6286133496146507
33,Ohio,1232,709,11799448,1941,523,0.00010441166400326524,0.00016449922064150797,4.4324107365022496e-05,6.008755663824274e-05,REPUBLICAN,0.508140243355296
34,Oklahoma,0,300,3959353,300,-300,0.0,7.576995534371398e-05,-7.576995534371398e-05,7.576995534371398e-05,REPUBLICAN,0.6557040166475606
35,Oregon,400,374,4237256,774,26,9.440071593502965e-05,0.00018266538533428237,6.1360465357769276e-06,8.826466939925272e-05,DEMOCRAT,0.5134866304221187
36,Pennsylvania,1406,567,13002700,1973,839,0.00010813138809631845,0.00015173771601282812,6.45250601798088e-05,4.360632791650965e-05,DEMOCRAT,0.5092380914415062
37,Rhode Island,415,235,1097379,650,180,0.00037817381232919527,0.000592320428949342,0.00016402719570904857,0.00021414661662014673,DEMOCRAT,0.5942342622628302
38,South Carolina,103,171,5118425,274,-68,2.0123377796880877e-05,5.3532092391702526e-05,-1.3285336797940772e-05,3.3408714594821646e-05,REPUBLICAN,0.5798194968164678
39,South Dakota,53,90,886667,143,-37,5.9774413618641494e-05,0.00016127813485784405,-4.172930762056104e-05,0.00010150372123920254,REPUBLICAN,0.5991113171824891
