,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,79,138,5024279,1.5723649104677508e-05,2.7466627549942988e-05,REPUBLICAN,0.603169130291706
1,Alaska,1247,715,733391,0.001700320838406798,0.0009749233355740662,REPUBLICAN,0.5942451953880631
2,Arizona,902,646,7151502,0.00012612735059012778,9.033067459115581e-05,REPUBLICAN,0.5363524782262724
3,Arkansas,35,59,3011524,1.162202260383779e-05,1.9591409532183704e-05,REPUBLICAN,0.5871590449992959
4,California,4999,2108,39538223,0.000126434614929457,5.331549675360979e-05,DEMOCRAT,0.6101263834713425
5,Colorado,677,546,5773714,0.00011725554816189371,9.456651299319641e-05,DEMOCRAT,0.5366023684069159
6,Connecticut,618,439,3605944,0.000171383693146649,0.00012174343251032184,DEMOCRAT,0.6058882967612181
7,Delaware,78,127,989948,7.879201735848752e-05,0.00012828956672471684,DEMOCRAT,0.6194266898150393
8,Florida,1705,661,21538187,7.91617233149661e-05,3.068967689806018e-05,DEMOCRAT,0.5103330527066491
9,Georgia,1079,470,10711908,0.00010072902045088513,4.38764037181798e-05,REPUBLICAN,0.5220451799292952
10,Hawaii,38,87,1455271,2.6111975020460106e-05,5.9782679652106036e-05,DEMOCRAT,0.7145291011787819
11,Idaho,46,75,1839106,2.501215264373016e-05,4.07806836582557e-05,REPUBLICAN,0.6151709147303861
12,Illinois,795,446,12812508,6.204874174517589e-05,3.480973436270245e-05,DEMOCRAT,0.6191811452001323
13,Indiana,469,379,6785528,6.911768693607925e-05,5.585416492275914e-05,DEMOCRAT,0.4994591163968428
14,Iowa,133,221,3190369,4.1687967755453996e-05,6.927098401470175e-05,DEMOCRAT,0.5392802007386527
15,Kansas,164,267,2937880,5.582256593189647e-05,9.088186038912414e-05,REPUBLICAN,0.5661225434349189
16,Kentucky,112,136,4505836,2.485665257235283e-05,3.0183078123571298e-05,REPUBLICAN,0.5739902114287592
17,Louisiana,283,295,4657757,6.075885882410783e-05,6.333520619474138e-05,REPUBLICAN,0.5856272131075638
18,Maine,194,244,1362359,0.00014240005754723975,0.00017910110330683762,DEMOCRAT,0.5770573729797597
19,Massachusetts,1524,717,7029917,0.00021678776577305252,0.00010199266933023533,DEMOCRAT,0.6136319910280229
20,Michigan,944,670,10077331,9.367559723899116e-05,6.64858582098772e-05,DEMOCRAT,0.5743324730745946
21,Minnesota,393,240,5706494,6.886890619704498e-05,4.205734729590533e-05,DEMOCRAT,0.5406029269827984
22,Mississippi,44,74,2961279,1.4858444611264254e-05,2.498920230076261e-05,REPUBLICAN,0.5617618898101739
23,Missouri,337,354,6154913,5.4753007881671114e-05,5.751502905077618e-05,REPUBLICAN,0.4942607441187882
24,Montana,0,197,1084225,0.0,0.00018169660356475825,REPUBLICAN,0.495324509445858
25,Nebraska,172,182,1961504,8.768781506435878e-05,9.278594384717033e-05,REPUBLICAN,0.5653185336979162
26,Nevada,42,69,3104614,1.3528251821321426e-05,2.2224985135028057e-05,DEMOCRAT,0.551466759243187
27,New Hampshire,197,183,1377529,0.0001430096934438404,0.0001328465680214355,DEMOCRAT,0.5412689705613458
28,New Jersey,1451,792,9288994,0.00015620636637293553,8.526219308570981e-05,DEMOCRAT,0.5727213715188599
29,New Mexico,116,139,2117522,5.478101290092854e-05,6.564276545887126e-05,DEMOCRAT,0.5690748026279335
30,New York,3085,851,20201249,0.00015271332975500673,4.212610814311531e-05,DEMOCRAT,0.6015696154075767
31,North Carolina,985,503,10439388,9.43541901115276e-05,4.8182901143247093e-05,DEMOCRAT,0.4970366639904742
32,North Dakota,0,197,779094,0.0,0.00025285780663180567,REPUBLICAN,0.5325010027761898
33,Ohio,651,429,11799448,5.5172072456270834e-05,3.6357633001137005e-05,DEMOCRAT,0.5150427006052537
34,Oklahoma,0,197,3959353,0.0,4.975560400903885e-05,REPUBLICAN,0.656450811226935
35,Oregon,157,182,4237256,3.705228100449914e-05,4.295232575043849e-05,DEMOCRAT,0.5674880625692065
36,Pennsylvania,1494,608,13002700,0.000114899213240327,4.675951917678636e-05,DEMOCRAT,0.5448552801203738
37,Rhode Island,635,596,1097379,0.000578651495973588,0.0005431122702366275,DEMOCRAT,0.6286400461245617
38,South Carolina,150,140,5118425,2.930588999545759e-05,2.7352163995760414e-05,REPUBLICAN,0.5387364397863786
39,South Dakota,0,197,886667,0.0,0.00022218036760136557,REPUBLICAN,0.5315897637279927
40,Tennessee,577,478,6910840,8.349202123041483e-05,6.916670043004903e-05,REPUBLICAN,0.5689695428289423
41,Texas,1473,826,29145505,5.053952573475738e-05,2.8340562292538763e-05,REPUBLICAN,0.5545236045232641
42,Utah,116,145,3271616,3.545648389052994e-05,4.432060486316243e-05,REPUBLICAN,0.6258386971450172
43,Vermont,267,250,643077,0.00041519133789577297,0.000388755934359338,DEMOCRAT,0.6745568319560924
44,Washington,481,358,7705281,6.242471883893657e-05,4.646164104852243e-05,DEMOCRAT,0.5765289221364835
45,West Virginia,293,219,1793716,0.00016334804394898636,0.0001220929065693789,REPUBLICAN,0.5571034310695478
46,Wisconsin,721,420,5893718,0.0001223336440596581,7.126231692795618e-05,DEMOCRAT,0.5621778651794235
47,Wyoming,215,303,576851,0.00037271323097298953,0.0005252656231851899,REPUBLICAN,0.6471377459749553
