,state,year,party_detailed,percent_total_votes
0,Alabama,2004,REPUBLICAN,0.6246068975770077
1,Alaska,2004,REPUBLICAN,0.6106532991253942
2,Arizona,2004,REPUBLICAN,0.5486943408601376
3,Arkansas,2004,REPUBLICAN,0.5430595907843537
4,California,2004,DEMOCRAT,0.5430555753467436
5,Colorado,2004,REPUBLICAN,0.5171109535459211
6,Connecticut,2004,DEMOCRAT,0.543137089719902
7,Delaware,2004,DEMOCRAT,0.5334683760228152
8,Florida,2004,REPUBLICAN,0.5209751623233695
9,Georgia,2004,REPUBLICAN,0.5797475676698846
10,Hawaii,2004,DEMOCRAT,0.5400955215809311
11,Idaho,2004,REPUBLICAN,0.6839094482399026
12,Illinois,2004,DEMOCRAT,0.5482316020902781
13,Indiana,2004,REPUBLICAN,0.5994476503665718
14,Iowa,2004,REPUBLICAN,0.4990065750530225
15,Kansas,2004,REPUBLICAN,0.620039806155473
16,Kentucky,2004,REPUBLICAN,0.5954951383220055
17,Louisiana,2004,REPUBLICAN,0.5672202134108999
18,Maine,2004,DEMOCRAT,0.5357285569259347
19,Massachusetts,2004,DEMOCRAT,0.616166602048537
20,Michigan,2004,DEMOCRAT,0.5123070672905647
21,Minnesota,2004,REPUBLICAN,0.47613533791521456
22,Mississippi,2004,REPUBLICAN,0.5901437414899142
23,Missouri,2004,REPUBLICAN,0.5329619193926551
24,Montana,2004,REPUBLICAN,0.5906814316858852
25,Nebraska,2004,REPUBLICAN,0.6589864119889075
26,Nevada,2004,REPUBLICAN,0.504696915453111
27,New Hampshire,2004,DEMOCRAT,0.5020161082255741
28,New Jersey,2004,DEMOCRAT,0.5292340900702746
29,New Mexico,2004,REPUBLICAN,0.498384247604138
30,New York,2004,DEMOCRAT,0.5613058126549186
31,North Carolina,2004,REPUBLICAN,0.5601719733779452
32,North Dakota,2004,REPUBLICAN,0.6286133496146507
33,Ohio,2004,REPUBLICAN,0.508140243355296
34,Oklahoma,2004,REPUBLICAN,0.6557040166475606
35,Oregon,2004,DEMOCRAT,0.5134866304221187
36,Pennsylvania,2004,DEMOCRAT,0.5092380914415062
37,Rhode Island,2004,DEMOCRAT,0.5942342622628302
38,South Carolina,2004,REPUBLICAN,0.5798194968164678
39,South Dakota,2004,REPUBLICAN,0.5991113171824891
40,Tennessee,2004,REPUBLICAN,0.5679908949136325
41,Texas,2004,REPUBLICAN,0.6108582276906154
42,Utah,2004,REPUBLICAN,0.7153594785330293
43,Vermont,2004,DEMOCRAT,0.5893746257712714
44,Washington,2004,DEMOCRAT,0.5282114831183694
45,West Virginia,2004,REPUBLICAN,0.5607071786946674
46,Wisconsin,2004,DEMOCRAT,0.49699717084411216
47,Wyoming,2004,REPUBLICAN,0.6873956885274808
