,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,13,29,5024279,2.5874359286178177e-06,5.77197245614744e-06,REPUBLICAN,0.603169130291706
1,Alaska,135,217,733391,0.000184076433989509,0.0002958858235238774,REPUBLICAN,0.5942451953880631
2,Arizona,43,71,7151502,6.012722921702322e-06,9.92798435908988e-06,REPUBLICAN,0.5363524782262724
3,Arkansas,81,93,3011524,2.689668088316746e-05,3.0881374347340416e-05,REPUBLICAN,0.5871590449992959
4,California,3797,1233,39538223,9.603365330809127e-05,3.118501304421294e-05,DEMOCRAT,0.6101263834713425
5,Colorado,452,321,5773714,7.8285831269093e-05,5.559679610039569e-05,DEMOCRAT,0.5366023684069159
6,Connecticut,981,472,3605944,0.0002720508138784185,0.00013089498894048272,DEMOCRAT,0.6058882967612181
7,Delaware,128,125,989948,0.00012929972079341542,0.00012626925858731975,DEMOCRAT,0.6194266898150393
8,Florida,1254,651,21538187,5.8222170696168625e-05,3.0225385265714333e-05,DEMOCRAT,0.5103330527066491
9,Georgia,937,572,10711908,8.747274528496698e-05,5.339851686552947e-05,REPUBLICAN,0.5220451799292952
10,Hawaii,372,396,1455271,0.00025562249230555683,0.00027211426600268955,DEMOCRAT,0.7145291011787819
11,Idaho,68,113,1839106,3.69744865168185e-05,6.144289671177192e-05,REPUBLICAN,0.6151709147303861
12,Illinois,1397,814,12812508,0.0001090340782616487,6.353166764851971e-05,DEMOCRAT,0.6191811452001323
13,Indiana,128,147,6785528,1.8863675752277494e-05,2.1663752621756186e-05,DEMOCRAT,0.4994591163968428
14,Iowa,241,284,3190369,7.553985134634896e-05,8.901791610939049e-05,DEMOCRAT,0.5392802007386527
15,Kansas,6,19,2937880,2.0422889975084075e-06,6.4672484921099566e-06,REPUBLICAN,0.5661225434349189
16,Kentucky,297,260,4505836,6.59145161963285e-05,5.7702943471533366e-05,REPUBLICAN,0.5739902114287592
17,Louisiana,0,200,4657757,0.0,4.293912284389246e-05,REPUBLICAN,0.5856272131075638
18,Maine,0,200,1362359,0.0,0.0001468041830383915,DEMOCRAT,0.5770573729797597
19,Massachusetts,2048,789,7029917,0.00029132634140630677,0.00011223461102030081,DEMOCRAT,0.6136319910280229
20,Michigan,1108,554,10077331,0.000109949747606782,5.4974873803391e-05,DEMOCRAT,0.5743324730745946
21,Minnesota,409,457,5706494,7.167272935010534e-05,8.00841988092864e-05,DEMOCRAT,0.5406029269827984
22,Mississippi,83,99,2961279,2.8028429607612116e-05,3.343150037534457e-05,REPUBLICAN,0.5617618898101739
23,Missouri,112,184,6154913,1.8196845349398114e-05,2.9894817359725474e-05,REPUBLICAN,0.4942607441187882
24,Montana,38,64,1084225,3.504807581452189e-05,5.902833821393161e-05,REPUBLICAN,0.495324509445858
25,Nebraska,79,110,1961504,4.02752173842113e-05,5.607941661092712e-05,REPUBLICAN,0.5653185336979162
26,Nevada,238,282,3104614,7.666009365415475e-05,9.083254794315815e-05,DEMOCRAT,0.551466759243187
27,New Hampshire,145,139,1377529,0.00010526094187490789,0.00010090531669387723,DEMOCRAT,0.5412689705613458
28,New Jersey,1035,605,9288994,0.00011142218414609806,6.513084194047278e-05,DEMOCRAT,0.5727213715188599
29,New Mexico,0,200,2117522,0.0,9.445002224298024e-05,DEMOCRAT,0.5690748026279335
30,New York,2313,697,20201249,0.00011449787089897263,3.450281712779245e-05,DEMOCRAT,0.6015696154075767
31,North Carolina,1716,760,10439388,0.0001643774520115547,7.280120252259998e-05,DEMOCRAT,0.4970366639904742
32,North Dakota,285,360,779094,0.0003658095172084498,0.0004620751796317261,REPUBLICAN,0.5325010027761898
33,Ohio,306,224,11799448,2.5933416546265553e-05,1.898393890968459e-05,DEMOCRAT,0.5150427006052537
34,Oklahoma,0,200,3959353,0.0,5.051330356247599e-05,REPUBLICAN,0.656450811226935
35,Oregon,51,64,4237256,1.203609128171628e-05,1.5104114549604744e-05,DEMOCRAT,0.5674880625692065
36,Pennsylvania,1589,757,13002700,0.00012220538811169988,5.821867765925539e-05,DEMOCRAT,0.5448552801203738
37,Rhode Island,50,63,1097379,4.556310991918015e-05,5.7409518498166994e-05,DEMOCRAT,0.6286400461245617
38,South Carolina,357,329,5118425,6.974801818918906e-05,6.427758539003698e-05,REPUBLICAN,0.5387364397863786
39,South Dakota,104,129,886667,0.00011729318898752294,0.00014548866710952364,REPUBLICAN,0.5315897637279927
40,Tennessee,421,358,6910840,6.0918788454080835e-05,5.180267521748441e-05,REPUBLICAN,0.5689695428289423
41,Texas,1083,491,29145505,3.7158388574841986e-05,1.684650857825246e-05,REPUBLICAN,0.5545236045232641
42,Utah,75,118,3271616,2.292445079129091e-05,3.60678025782977e-05,REPUBLICAN,0.6258386971450172
43,Vermont,445,489,643077,0.0006919855631596216,0.0007604066076068651,DEMOCRAT,0.6745568319560924
44,Washington,476,300,7705281,6.177581323770023e-05,3.893433607418081e-05,DEMOCRAT,0.5765289221364835
45,West Virginia,120,138,1793716,6.690022277774185e-05,7.693525619440313e-05,REPUBLICAN,0.5571034310695478
46,Wisconsin,946,668,5893718,0.0001605098852710632,0.00011334101835208267,DEMOCRAT,0.5621778651794235
47,Wyoming,0,200,576851,0.0,0.0003467099823004554,REPUBLICAN,0.6471377459749553
