,state,pop_migrated,MOE +/-,state_population,pop_migrated_upper,pop_migrated_lower,migrated_adjusted,migrated_adjusted_upper,migrated_adjusted_lower,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,103,140,5024279,243,-37,2.050045389597194e-05,4.836514851185613e-05,-7.36424071991225e-06,2.786469461588419e-05,REPUBLICAN,0.6246068975770077
1,Alaska,230,272,733391,502,-42,0.00031361170235249684,0.0006844916286128409,-5.726822390784725e-05,0.0003708799262603441,REPUBLICAN,0.6106532991253942
2,Arizona,509,476,7151502,985,33,7.117385970108097e-05,0.00013773330413666948,4.614415265492479e-06,6.65594444355885e-05,REPUBLICAN,0.5486943408601376
3,Arkansas,35,60,3011524,95,-25,1.162202260383779e-05,3.154548992470258e-05,-8.301444717026993e-06,1.9923467320864784e-05,REPUBLICAN,0.5430595907843537
4,California,1688,646,39538223,2334,1042,4.26928645730993e-05,5.903148454597972e-05,2.6354244600218883e-05,1.633861997288042e-05,DEMOCRAT,0.5430555753467436
5,Colorado,360,306,5773714,666,54,6.235154702848115e-05,0.00011535036200269012,9.352732054272173e-06,5.299881497420898e-05,REPUBLICAN,0.5171109535459211
6,Connecticut,919,634,3605944,1553,285,0.000254856980585389,0.0004306777920012069,7.903616916957113e-05,0.00017582081141581787,DEMOCRAT,0.543137089719902
7,Delaware,981,721,989948,1702,260,0.0009909611413932854,0.0017192822249249456,0.00026264005786162507,0.0007283210835316603,DEMOCRAT,0.5334683760228152
8,Florida,1650,708,21538187,2358,942,7.660811933706398e-05,0.00010947996690714962,4.373627176697834e-05,3.287184757008563e-05,REPUBLICAN,0.5209751623233695
9,Georgia,709,437,10711908,1146,272,6.618802177912655e-05,0.00010698374183198736,2.5392301726265758e-05,4.07957200528608e-05,REPUBLICAN,0.5797475676698846
10,Hawaii,355,521,1455271,876,-166,0.00024394081927008783,0.0006019497399453436,-0.00011406810140516784,0.0003580089206752557,DEMOCRAT,0.5400955215809311
11,Idaho,79,135,1839106,214,-56,4.2955653453362666e-05,0.00011636088403822292,-3.0449577131497587e-05,7.340523058486025e-05,REPUBLICAN,0.6839094482399026
12,Illinois,877,451,12812508,1328,426,6.844873774908083e-05,0.00010364871577055796,3.324875972760368e-05,3.519997802147714e-05,DEMOCRAT,0.5482316020902781
13,Indiana,137,137,6785528,274,0,2.0190027953609504e-05,4.038005590721901e-05,0.0,2.0190027953609504e-05,REPUBLICAN,0.5994476503665718
14,Iowa,139,173,3190369,312,-34,4.356862795494816e-05,9.779433037369659e-05,-1.0657074463800268e-05,5.422570241874843e-05,REPUBLICAN,0.4990065750530225
15,Kansas,364,360,2937880,724,4,0.0001238988658488434,0.00024643620569934785,1.3615259983389382e-06,0.00012253733985050444,REPUBLICAN,0.620039806155473
16,Kentucky,0,296,4505836,296,-296,0.0,6.569258179836105e-05,-6.569258179836105e-05,6.569258179836105e-05,REPUBLICAN,0.5954951383220055
17,Louisiana,484,679,4657757,1163,-195,0.00010391267728221975,0.00024969099933723466,-4.1865644772795146e-05,0.0001457783220550149,REPUBLICAN,0.5672202134108999
18,Maine,0,296,1362359,296,-296,0.0,0.00021727019089681941,-0.00021727019089681941,0.00021727019089681941,DEMOCRAT,0.5357285569259347
19,Massachusetts,1523,665,7029917,2188,858,0.00021664551658291271,0.00031124122802587853,0.00012204980513994688,9.459571144296583e-05,DEMOCRAT,0.616166602048537
20,Michigan,895,778,10077331,1673,117,8.881319865349268e-05,0.0001660161802763053,1.1610217030680048e-05,7.720298162281263e-05,DEMOCRAT,0.5123070672905647
21,Minnesota,300,277,5706494,577,23,5.2571684119881664e-05,0.00010111287245723907,4.030495782524261e-06,4.85411883373574e-05,REPUBLICAN,0.4761353379152145
22,Mississippi,91,114,2961279,205,-23,3.0729964991478344e-05,6.92268442115721e-05,-7.766914228615406e-06,3.849687922009375e-05,REPUBLICAN,0.5901437414899142
23,Missouri,179,229,6154913,408,-50,2.908245819234163e-05,6.62885080585217e-05,-8.123591673838443e-06,3.7206049866180076e-05,REPUBLICAN,0.5329619193926551
24,Montana,65,108,1084225,173,-43,5.9950655998524294e-05,0.00015956097673453388,-3.96596647374853e-05,9.961032073600959e-05,REPUBLICAN,0.5906814316858852
25,Nebraska,0,296,1961504,296,-296,0.0,0.0001509046119712221,-0.0001509046119712221,0.0001509046119712221,REPUBLICAN,0.6589864119889075
26,Nevada,0,296,3104614,296,-296,0.0,9.534196521693196e-05,-9.534196521693196e-05,9.534196521693196e-05,REPUBLICAN,0.504696915453111
27,New Hampshire,230,191,1377529,421,39,0.0001669656319395091,0.0003056197002023188,2.8311563676699366e-05,0.0001386540682628097,DEMOCRAT,0.5020161082255741
28,New Jersey,1160,628,9288994,1788,532,0.00012487896967098913,0.00019248586014804187,5.727207919393639e-05,6.760689047705273e-05,DEMOCRAT,0.5292340900702746
29,New Mexico,51,84,2117522,135,-33,2.4084755671959962e-05,6.375376501401166e-05,-1.558425367009174e-05,3.96690093420517e-05,REPUBLICAN,0.498384247604138
30,New York,3974,1310,20201249,5284,2664,0.00019672050970709782,0.00026156798522705205,0.00013187303418714358,6.484747551995423e-05,DEMOCRAT,0.5613058126549186
31,North Carolina,1370,428,10439388,1798,942,0.00013123374665258155,0.00017223231859951943,9.023517470564366e-05,4.0998571946937886e-05,REPUBLICAN,0.5601719733779452
32,North Dakota,0,296,779094,296,-296,0.0,0.0003799284810305303,-0.0003799284810305303,0.0003799284810305303,REPUBLICAN,0.6286133496146507
33,Ohio,966,514,11799448,1480,452,8.186823654801479e-05,0.0001254295963675589,3.830687672847069e-05,4.35613598195441e-05,REPUBLICAN,0.508140243355296
34,Oklahoma,109,122,3959353,231,-13,2.7529750441549414e-05,5.834286561465977e-05,-3.2833647315609394e-06,3.081311517311035e-05,REPUBLICAN,0.6557040166475606
35,Oregon,412,340,4237256,752,72,9.723273741308054e-05,0.00017747334595785575,1.699212886830534e-05,8.02406085447752e-05,DEMOCRAT,0.5134866304221187
36,Pennsylvania,1880,795,13002700,2675,1085,0.0001445853553492736,0.00020572650295707815,8.344420774146908e-05,6.114114760780454e-05,DEMOCRAT,0.5092380914415062
37,Rhode Island,336,249,1097379,585,87,0.00030618409865689063,0.0005330883860544079,7.927981125937347e-05,0.00022690428739751718,DEMOCRAT,0.5942342622628302
38,South Carolina,608,391,5118425,999,217,0.00011878654078158809,0.00019517722736974753,4.239585419342864e-05,7.639068658815945e-05,REPUBLICAN,0.5798194968164678
39,South Dakota,0,296,886667,296,-296,0.0,0.00033383446096448834,-0.00033383446096448834,0.00033383446096448834,REPUBLICAN,0.5991113171824891
40,Tennessee,35,59,6910840,94,-24,5.064507353664677e-06,1.3601819749842277e-05,-3.4728050425129215e-06,8.537312396177599e-06,REPUBLICAN,0.5679908949136325
41,Texas,711,430,29145505,1141,281,2.439484236076884e-05,3.914840384477812e-05,9.641280876759556e-06,1.4753561484009284e-05,REPUBLICAN,0.6108582276906154
42,Utah,0,296,3271616,296,-296,0.0,9.047516578962812e-05,-9.047516578962812e-05,9.047516578962812e-05,REPUBLICAN,0.7153594785330293
43,Vermont,0,296,643077,296,-296,0.0,0.0004602870262814562,-0.0004602870262814562,0.0004602870262814562,DEMOCRAT,0.5893746257712714
44,Washington,296,302,7705281,598,-6,3.8415211593191736e-05,7.760910990786709e-05,-7.786867214836163e-07,3.919389831467535e-05,DEMOCRAT,0.5282114831183694
45,West Virginia,424,233,1793716,657,191,0.0002363807871480212,0.0003662787197081366,0.00010648285458790577,0.0001298979325601154,REPUBLICAN,0.5607071786946674
46,Wisconsin,197,165,5893718,362,32,3.342542008287468e-05,6.142133030457175e-05,5.429509861177613e-06,2.799591022169707e-05,DEMOCRAT,0.4969971708441121
47,Wyoming,0,296,576851,296,-296,0.0,0.000513130773804674,-0.000513130773804674,0.000513130773804674,REPUBLICAN,0.6873956885274808
