,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,360,418,5024279,7.165207186941649e-05,8.319601678171136e-05,REPUBLICAN,0.603169130291706
1,Alaska,591,529,733391,0.0008058457221318505,0.0007213069154107427,REPUBLICAN,0.5942451953880631
2,Arizona,662,466,7151502,9.256796684109156e-05,6.516113677937866e-05,REPUBLICAN,0.5363524782262724
3,Arkansas,155,195,3011524,5.146895724556736e-05,6.475126879281055e-05,REPUBLICAN,0.5871590449992959
4,California,4205,1255,39538223,0.00010635278171201574,3.174143663462063e-05,DEMOCRAT,0.6101263834713425
5,Colorado,656,637,5773714,0.00011361837458523231,0.00011032759849206247,DEMOCRAT,0.5366023684069159
6,Connecticut,926,592,3605944,0.0002567982198281504,0.0001641733759592495,DEMOCRAT,0.6058882967612181
7,Delaware,0,292,989948,0.0,0.00029496498805997893,DEMOCRAT,0.6194266898150393
8,Florida,1100,609,21538187,5.107207955804265e-05,2.8275360409861795e-05,DEMOCRAT,0.5103330527066491
9,Georgia,1597,795,10711908,0.00014908641859134712,7.421647011904882e-05,REPUBLICAN,0.5220451799292952
10,Hawaii,0,292,1455271,0.0,0.0002006499133151145,DEMOCRAT,0.7145291011787819
11,Idaho,0,292,1839106,0.0,0.00015877279504280885,REPUBLICAN,0.6151709147303861
12,Illinois,615,373,12812508,4.7999970029287004e-05,2.9112176944591956e-05,DEMOCRAT,0.6191811452001323
13,Indiana,711,461,6785528,0.0001047818239052289,6.793870720156192e-05,DEMOCRAT,0.4994591163968428
14,Iowa,392,377,3190369,0.00012286979970028546,0.00011816814920155004,DEMOCRAT,0.5392802007386527
15,Kansas,83,137,2937880,2.8251664465532968e-05,4.663226544310864e-05,REPUBLICAN,0.5661225434349189
16,Kentucky,94,155,4505836,2.0861833408938983e-05,3.439983168495258e-05,REPUBLICAN,0.5739902114287592
17,Louisiana,0,292,4657757,0.0,6.269111935208299e-05,REPUBLICAN,0.5856272131075638
18,Maine,76,121,1362359,5.578558955458877e-05,8.881653073822686e-05,DEMOCRAT,0.5770573729797597
19,Massachusetts,1376,540,7029917,0.00019573488563236237,7.681456267549105e-05,DEMOCRAT,0.6136319910280229
20,Michigan,126,153,10077331,1.2503310648424667e-05,1.5182591501658524e-05,DEMOCRAT,0.5743324730745946
21,Minnesota,87,105,5706494,1.5245788394765683e-05,1.8400089441958583e-05,DEMOCRAT,0.5406029269827984
22,Mississippi,0,292,2961279,0.0,9.860604151111732e-05,REPUBLICAN,0.5617618898101739
23,Missouri,272,371,6154913,4.419233870568114e-05,6.027705021988126e-05,REPUBLICAN,0.4942607441187882
24,Montana,0,292,1084225,0.0,0.000269316793101063,REPUBLICAN,0.495324509445858
25,Nebraska,62,103,1961504,3.160839845343165e-05,5.2510726462959033e-05,REPUBLICAN,0.5653185336979162
26,Nevada,0,292,3104614,0.0,9.405356028156801e-05,DEMOCRAT,0.551466759243187
27,New Hampshire,137,136,1377529,9.945344163353367e-05,9.872750410336188e-05,DEMOCRAT,0.5412689705613458
28,New Jersey,1924,694,9288994,0.00020712684279912335,7.471207323419522e-05,DEMOCRAT,0.5727213715188599
29,New Mexico,61,100,2117522,2.880725678410897e-05,4.722501112149012e-05,DEMOCRAT,0.5690748026279335
30,New York,3852,1325,20201249,0.00019068127916249138,6.559000386560257e-05,DEMOCRAT,0.6015696154075767
31,North Carolina,1897,1089,10439388,0.0001817156331386476,0.00010431645993040971,DEMOCRAT,0.4970366639904742
32,North Dakota,98,165,779094,0.000125787132233081,0.00021178445733120778,REPUBLICAN,0.5325010027761898
33,Ohio,598,359,11799448,5.068033691067582e-05,3.0425152091860567e-05,DEMOCRAT,0.5150427006052537
34,Oklahoma,0,292,3959353,0.0,7.374942320121495e-05,REPUBLICAN,0.656450811226935
35,Oregon,601,520,4237256,0.00014183707569238204,0.00012272093071553854,DEMOCRAT,0.5674880625692065
36,Pennsylvania,2378,771,13002700,0.00018288509309604927,5.9295377113984016e-05,DEMOCRAT,0.5448552801203738
37,Rhode Island,249,206,1097379,0.00022690428739751718,0.00018772001286702225,DEMOCRAT,0.6286400461245617
38,South Carolina,380,339,5118425,7.424158798849255e-05,6.623131138973414e-05,REPUBLICAN,0.5387364397863786
39,South Dakota,0,292,886667,0.0,0.0003293231844649682,REPUBLICAN,0.5315897637279927
40,Tennessee,591,543,6910840,8.55178241718807e-05,7.857221408685486e-05,REPUBLICAN,0.5689695428289423
41,Texas,1180,605,29145505,4.0486517560769665e-05,2.0757917901920038e-05,REPUBLICAN,0.5545236045232641
42,Utah,0,292,3271616,0.0,8.925252841409261e-05,REPUBLICAN,0.6258386971450172
43,Vermont,199,245,643077,0.00030944972375003305,0.00038098081567215124,DEMOCRAT,0.6745568319560924
44,Washington,284,220,7705281,3.68578381502245e-05,2.8551846454399263e-05,DEMOCRAT,0.5765289221364835
45,West Virginia,860,754,1793716,0.0004794515965738166,0.0004203563997868113,REPUBLICAN,0.5571034310695478
46,Wisconsin,391,325,5893718,6.634182361626396e-05,5.5143459527585136e-05,DEMOCRAT,0.5621778651794235
47,Wyoming,0,292,576851,0.0,0.0005061965741586649,REPUBLICAN,0.6471377459749553
