,state,new_people_adj
19,District of Columbia ,8.735813719883938
24,Idaho,5.127787717206667
23,Hawaii,5.021811711157135
68,Vermont,4.962348305088712
55,North Dakota,4.949270112131492
74,Wyoming,4.757130202484499
16,Colorado,4.342604280790631
11,Alaska,4.334283216082901
18,Delaware,4.277905514296716
48,Nevada,4.262848673499754
