,state,2017_anomaly,winning_party
11,Idaho,4.868951612903225,REPUBLICAN
43,Vermont,4.051359516616315,DEMOCRAT
42,Utah,2.640990371389271,REPUBLICAN
5,Colorado,2.5022563176895307,DEMOCRAT
40,Tennessee,2.2511713758341614,REPUBLICAN
0,Alabama,2.2319277108433733,REPUBLICAN
12,Illinois,2.2126623376623376,DEMOCRAT
41,Texas,2.105289004567107,REPUBLICAN
13,Indiana,2.026641294005709,REPUBLICAN
16,Kentucky,1.7592592592592593,REPUBLICAN
23,Missouri,1.6532639545884578,REPUBLICAN
21,Minnesota,1.6156126482213438,DEMOCRAT
28,New Jersey,1.5658377332634719,DEMOCRAT
17,Louisiana,1.540432167520606,REPUBLICAN
29,New Mexico,1.5021876519202724,DEMOCRAT
