0,pop_migrated,MOE +/-,state_population,state_pop_adjusted,moe_adjusted
Alabama,342,369,5024279,6.806946827594566e-05,7.34433736661519e-05
Alaska,196,179,733391,0.0002672517115699538,0.0002440717161786823
Arizona,674,632,7151502,9.424593602854337e-05,8.837304387246204e-05
Arkansas,37,75,3011524,1.2286138181199951e-05,2.4904334151080982e-05
California,3945,1308,39538223,9.97768665526521e-05,3.308191164787553e-05
Colorado,261,258,5773714,4.5204871595648834e-05,4.468527537041149e-05
Connecticut,1102,562,3605944,0.00030560652078900837,0.0001558537792045578
Delaware,3560,1052,989948,0.003596148484566866,0.001062682080270883
District of Columbia,0,0,689545,0.0,0.0
Florida,2581,1114,21538187,0.0001198336703084619,5.1722087843326834e-05
Georgia,1662,836,10711908,0.00015515443187152093,7.804398618808153e-05
Hawaii,0,236,1455271,0.0,0.00016216910802180486
Idaho,93,116,1839106,5.056804773623706e-05,6.307412405810214e-05
Illinois,1736,928,12812508,0.00013549259832657275,7.242922306858267e-05
Indiana,159,263,6785528,2.34322222235322e-05,3.875895877225766e-05
Iowa,145,167,3190369,4.544928815444232e-05,5.2345042219254264e-05
Kansas,503,668,2937880,0.0001712118942911215,0.0002273748417226027
Kentucky,202,205,4505836,4.483074838942207e-05,4.5496551583324384e-05
Louisiana,324,341,4657757,6.956137900710578e-05,7.321120444883665e-05
Maine,1028,573,1362359,0.0007545735008173323,0.00042059398440499163
Massachusetts,2389,870,7029917,0.000339833315243978,0.00012375679542162447
Michigan,607,418,10077331,6.0234202885664865e-05,4.1479236913027865e-05
Minnesota,726,504,5706494,0.00012722347557011363,8.832042932140119e-05
Mississippi,29,67,2961279,9.793065766515077e-06,2.262535883987966e-05
Missouri,87,108,6154913,1.4135049512478892e-05,1.7546958015491038e-05
Montana,65,78,1084225,5.9950655998524294e-05,7.194078719822915e-05
Nebraska,0,236,1961504,0.0,0.00012031583927435274
Nevada,431,412,3104614,0.00013882563178546512,0.0001327057083424864
New Hampshire,266,329,1377529,0.0001930993830256931,0.00023883344742651517
New Jersey,2709,1162,9288994,0.0002916354558954393,0.0001250942782393874
New Mexico,0,236,2117522,0.0,0.00011145102624671669
New York,3658,1245,20201249,0.000181077912558773,6.162985268881147e-05
North Carolina,1330,807,10439388,0.00012740210441454996,7.730338215228708e-05
North Dakota,0,236,779094,0.0,0.00030291595109190934
Ohio,1610,1744,11799448,0.00013644706091335798,0.0001478035243682586
Oklahoma,374,397,3959353,9.44598776618301e-05,0.00010026890757151484
Oregon,426,250,4237256,0.00010053676247080657,5.900044745939353e-05
Pennsylvania,2237,1095,13002700,0.00017204119144485376,8.421327878056096e-05
Rhode Island,366,348,1097379,0.0003335219646083987,0.00031711924503749386
South Carolina,196,272,5118425,3.829302959406458e-05,5.314134719176309e-05
South Dakota,0,236,886667,0.0,0.00026616531347168666
Tennessee,663,363,6910840,9.593623929941946e-05,5.252617626800794e-05
Texas,1498,1002,29145505,5.1397290937316064e-05,3.437922931855186e-05
Utah,24,37,3271616,7.335824253213091e-06,1.1309395723703515e-05
Vermont,0,236,643077,0.0,0.0003669856020352151
Washington,1817,849,7705281,0.00023581229548928846,0.00011018417108993169
West Virginia,568,437,1793716,0.0003166610544813114,0.00024362831128227656
Wisconsin,307,304,5893718,5.208936023067273e-05,5.158034368118733e-05
Wyoming,56,93,576851,9.707879504412752e-05,0.00016122014176971175
Puerto Rico,568,434,3285874,0.0001728611626617454,0.00013208053625915053
