,state_names,migr_adj_2005,moe_adj_2005,migr_adj_2009,moe_adj_2009,migr_adj_2013,moe_adj_2013,migr_adj_2017,moe_adj_2017,migr_adj_2021,moe_adj_2021
0,Alabama,0.0,5.692359042959199e-05,4.040380719303207e-05,3.3345724403441766e-05,6.289459641871003e-05,4.3190276654620496e-05,9.832256528747706e-05,8.299698324874077e-05,6.806946827594566e-05,7.34433736661519e-05
1,Alaska,0.0,0.0003899693342296,0.0003272469937591,0.0003808934306529,0.0007894833724438,0.0008972021745562,0.0,0.0002836140612579,0.0002672517115699,0.0002440717161786
2,Arizona,6.851707515428227e-05,8.012302870082396e-05,4.474584499871495e-06,7.5568312881685555e-06,1.1046630484057754e-05,1.817799953072795e-05,7.676709032592035e-05,9.326712066919648e-05,9.424593602854336e-05,8.837304387246204e-05
3,Arkansas,0.0,9.49685275627888e-05,3.5198125600194454e-05,4.209750382198515e-05,0.0,6.37550954267673e-05,3.486606781151337e-05,4.848043714743765e-05,1.2286138181199953e-05,2.4904334151080985e-05
4,California,5.9385572285330075e-05,2.5544901195989512e-05,7.537010451886014e-05,2.300962630136413e-05,6.138363881452133e-05,2.142230823069615e-05,9.517372594109756e-05,2.615190874916154e-05,9.97768665526521e-05,3.308191164787553e-05
5,Colorado,4.659046152961508e-05,4.329968543644524e-05,8.746536458161939e-05,8.800633906875194e-05,5.8367975968328186e-05,4.191409550247899e-05,0.000192077404596,0.0001155235607444,4.5204871595648834e-05,4.468527537041149e-05
6,Connecticut,7.238049176581777e-05,5.795985739101883e-05,7.98681288450403e-05,7.868498552112844e-05,0.0004428798672414,0.0001749888517403,0.0003186405557046,0.0001730476124975,0.000305606520789,0.0001558537792045
7,Delaware,0.0003606250025253,0.0003495133077697,0.0005767979732268,0.0005363329024857,0.0003394117670827,0.0002565791334494,0.0003788077757619,0.0003394117670827,0.0035961484845668,0.0010626820802708
8,Florida,5.1211367047746406e-05,2.140384425114333e-05,0.0001056263463586,4.869018630026752e-05,0.0,0.0,0.0,0.0,0.0,0.0
9,Georgia,2.977994209808374e-05,1.951099654702038e-05,8.401864541779112e-05,5.065974589494234e-05,6.0682916347601585e-05,2.9714664470133908e-05,5.487927094327856e-05,2.460745651432964e-05,0.0001198336703084,5.1722087843326834e-05
10,Hawaii,3.8480805293309633e-05,6.321846583900867e-05,9.963779942017672e-05,0.0001168152440473,0.0001397510135449,5.59190762280632e-05,0.0001406845540495,6.002665444848854e-05,0.0001551544318715,7.804398618808153e-05
11,Idaho,0.0,0.0001555103403501,0.0,0.0001609477648379,0.0002329463034719,0.0003614447068621,1.9927559884035344e-05,3.229639015688487e-05,0.0,0.0001621691080218
12,Illinois,0.0001185560235357,6.337557018500984e-05,0.0001069267625042,4.026539474394865e-05,0.0,0.0001049422926139,8.754253425305556e-05,0.0001000486105749,5.056804773623706e-05,6.307412405810214e-05
13,Indiana,2.829551362841624e-05,2.0779517820868177e-05,0.0,4.36222501771417e-05,5.877069501146848e-05,3.1063395238465414e-05,0.0002127608427639,7.375605150841662e-05,0.0001354925983265,7.242922306858267e-05
